Task #,Time to solution,Confidence,Task (correct),Help,Error,Technical Problem,AI error,Pondering,AI or Not,Timestamp,Subject #,Experience level,Age,Occupation,Experience domain
3.1,01:00,5,5,1,0,0,N/A,0,Not,2024-04-12 13.05.15,E9,Expert,36-45,Product & Sales,"Software Development, Design, Data Analysis, Cybersecurity, Network Engineering, Database Management"
4,01:15,5,5,0,0,0,N/A,15,Not,2024-04-12 13.09.40,E9,Expert,36-45,Product & Sales,"Software Development, Design, Data Analysis, Cybersecurity, Network Engineering, Database Management"
2,01:30,5,4,0,1,0,N/A,0,Not,2024-04-12 13.03.00,E9,Expert,36-45,Product & Sales,"Software Development, Design, Data Analysis, Cybersecurity, Network Engineering, Database Management"
4,01:40,4,5,0,0,0,N/A,0,Not,2024-04-12 14.00.49,E10,Beginner,18-25,Business Development Representative,Sales
2,01:40,4,3,0,0,0,0,0,AI,2024-03-26 09.09.45,E1,Expert,18-25,B.sc. student,Software Development
5.1,01:45,5,5,0,0,0,N/A,0,Not,2024-04-12 13.11.15,E9,Expert,36-45,Product & Sales,"Software Development, Design, Data Analysis, Cybersecurity, Network Engineering, Database Management"
4,01:50,3,5,0,0,0,N/A,0,Not,2024-04-03 14.32.48,E3,Intermediate,18-25,First year student in Webprogramming on BTH,"Software Development, Design, Database Management"
3.2,02:03,4,4,0,0,0,0,0,AI,2024-03-26 19.40.29,E2,Intermediate,26-35,Sofware developer,Software Development
5.2,02:08,4,3,0,0,0,N/A,0,Not,2024-04-12 14.06.08,E10,Beginner,18-25,Business Development Representative,Sales
3.1,02:10,5,5,0,0,0,N/A,28,Not,2024-04-12 11.29.20,E8,Beginner,26-35,Financial manager,"Data Analysis, Data analys i excel"
1,02:13,5,4,0,0,0,N/A,0,Not,2024-04-12 13.00.00,E9,Expert,36-45,Product & Sales,"Software Development, Design, Data Analysis, Cybersecurity, Network Engineering, Database Management"
3.2,02:20,4,5,0,0,0,N/A,0,Not,2024-04-03 14.26.33,E3,Intermediate,18-25,First year student in Webprogramming on BTH,"Software Development, Design, Database Management"
2,02:21,3,5,1,1,,N/A,0,Not,2024-04-12 13.49.15,E10,Beginner,18-25,Business Development Representative,Sales
4,02:25,5,5,1,0,0,0,0,AI,2024-04-12 10.55.00,E7,,,,
